index,coordx,coordz
0,0.0,20.0
1,604.8387096774194,20.0
2,1209.6774193548388,20.0
3,1814.516129032258,20.0
4,2419.3548387096776,20.0
5,3024.193548387097,20.0
6,3629.032258064516,20.0
7,4233.870967741936,20.0
8,4838.709677419355,20.0
9,5443.548387096775,20.0
10,6048.387096774194,20.0
11,6653.225806451614,20.0
12,7258.064516129032,20.0
13,7862.903225806452,20.0
14,8467.741935483871,20.0
15,9072.580645161292,20.0
16,9677.41935483871,20.0
17,10282.258064516129,20.0
18,10887.09677419355,20.0
19,11491.935483870968,20.0
20,12096.774193548388,20.0
21,12701.612903225807,20.0
22,13306.451612903227,20.0
23,13911.290322580646,20.0
24,14516.129032258064,20.0
25,15120.967741935485,20.0
26,15725.806451612903,20.0
27,16330.645161290324,20.0
28,16935.483870967742,20.0
29,17540.322580645163,20.0
30,18145.161290322583,20.0
31,18750.0,20.0
