index,coordx,coordz
0,50.0,450.0
1,150.0,450.0
2,250.0,450.0
3,350.0,450.0
4,450.0,450.0
5,550.0,450.0
6,650.0,450.0
7,750.0,450.0
8,850.0,450.0
9,950.0,450.0
10,1050.0,450.0
11,1150.0,450.0
12,1250.0,450.0
13,1350.0,450.0
14,1450.0,450.0
15,1550.0,450.0
16,1650.0,450.0
17,1750.0,450.0
18,1850.0,450.0
19,1950.0,450.0
20,2050.0,450.0
21,2150.0,450.0
22,2250.0,450.0
23,2350.0,450.0
24,2450.0,450.0
25,2550.0,450.0
26,2650.0,450.0
27,2750.0,450.0
28,2850.0,450.0
29,2950.0,450.0
30,3050.0,450.0
31,3150.0,450.0
32,3250.0,450.0
33,3350.0,450.0
34,3450.0,450.0
35,3550.0,450.0
36,3650.0,450.0
37,3750.0,450.0
38,3850.0,450.0
39,3950.0,450.0
40,4050.0,450.0
41,4150.0,450.0
42,4250.0,450.0
43,4350.0,450.0
44,4450.0,450.0
45,4550.0,450.0
46,4650.0,450.0
47,4750.0,450.0
48,4850.0,450.0
49,4950.0,450.0
50,5050.0,450.0
51,5150.0,450.0
52,5250.0,450.0
53,5350.0,450.0
54,5450.0,450.0
55,5550.0,450.0
56,5650.0,450.0
57,5750.0,450.0
58,5850.0,450.0
59,5950.0,450.0
60,6050.0,450.0
61,6150.0,450.0
62,6250.0,450.0
63,6350.0,450.0
64,6450.0,450.0
65,6550.0,450.0
66,6650.0,450.0
67,6750.0,450.0
68,6850.0,450.0
69,6950.0,450.0
70,7050.0,450.0
71,7150.0,450.0
72,7250.0,450.0
73,7350.0,450.0
74,7450.0,450.0
75,7550.0,450.0
76,7650.0,450.0
77,7750.0,450.0
78,7850.0,450.0
79,7950.0,450.0
80,8050.0,450.0
81,8150.0,450.0
82,8250.0,450.0
83,8350.0,450.0
84,8450.0,450.0
85,8550.0,450.0
86,8650.0,450.0
87,8750.0,450.0
88,8850.0,450.0
89,8950.0,450.0
90,9050.0,450.0
91,9150.0,450.0
92,9250.0,450.0
93,9350.0,450.0
94,9450.0,450.0
95,9550.0,450.0
96,9650.0,450.0
97,9750.0,450.0
98,9850.0,450.0
99,9950.0,450.0
100,10050.0,450.0
101,10150.0,450.0
102,10250.0,450.0
103,10350.0,450.0
104,10450.0,450.0
105,10550.0,450.0
106,10650.0,450.0
107,10750.0,450.0
108,10850.0,450.0
109,10950.0,450.0
110,11050.0,450.0
111,11150.0,450.0
112,11250.0,450.0
113,11350.0,450.0
114,11450.0,450.0
115,11550.0,450.0
116,11650.0,450.0
117,11750.0,450.0
118,11850.0,450.0
119,11950.0,450.0
120,12050.0,450.0
121,12150.0,450.0
122,12250.0,450.0
123,12350.0,450.0
124,12450.0,450.0
125,12550.0,450.0
126,12650.0,450.0
127,12750.0,450.0
128,12850.0,450.0
129,12950.0,450.0
130,13050.0,450.0
131,13150.0,450.0
132,13250.0,450.0
133,13350.0,450.0
134,13450.0,450.0
135,13550.0,450.0
136,13650.0,450.0
137,13750.0,450.0
138,13850.0,450.0
139,13950.0,450.0
140,14050.0,450.0
141,14150.0,450.0
142,14250.0,450.0
143,14350.0,450.0
144,14450.0,450.0
145,14550.0,450.0
146,14650.0,450.0
147,14750.0,450.0
148,14850.0,450.0
149,14950.0,450.0
150,15050.0,450.0
151,15150.0,450.0
152,15250.0,450.0
153,15350.0,450.0
154,15450.0,450.0
155,15550.0,450.0
156,15650.0,450.0
157,15750.0,450.0
158,15850.0,450.0
159,15950.0,450.0
160,16050.0,450.0
161,16150.0,450.0
162,16250.0,450.0
163,16350.0,450.0
164,16450.0,450.0
165,16550.0,450.0
166,16650.0,450.0
167,16750.0,450.0
168,16850.0,450.0
169,16950.0,450.0
